id,target
0,0.269619616
1,0.101726789
2,0.122177127
3,0.529065528
4,0.231437834
5,0.038622523
6,0.492981521
7,0.746643932
8,0
9,0.220611788
10,0.018967012
11,0.538745013
12,0.290732044
13,0.234094387
14,0.301793097
15,0.09873252
16,0.333732644
17,0.006272906
18,0.219017573
19,0.282948846
20,0.20305873
21,0.081655861
22,0.041286847
23,0.036221334
24,0.161134996
25,0
26,0
27,0.460419868
28,0.787434555
29,0.2503993
30,0.416630091
31,0.109233893
32,0.051712097
33,0
34,0.084806651
35,0.107560567
36,0.622888506
37,0.147708083
38,0.249704554
39,0.527301136
40,0.197069686
41,0.076423894
42,0.438284383
43,0.087220827
44,0.162649378
45,0.51296993
46,0.172471288
47,0.462807018
48,0.48036155
49,0.375050252
50,0.142278813
51,0.522268726
52,0.035505903
53,0.647711164
54,0.239114514
55,0.489613082
56,0.36656025
57,0.072249231
58,0.054108639
59,0.07078688
60,0.152032923
61,0.394657533
62,0.179209241
63,0.650445562
64,0.009598216
65,0.403781492
66,0.604468357
67,0.064347943
68,0
69,0.002788239
70,0.237789337
71,0.089828649
72,0.257660406
73,0.049317142
74,0.159655746
75,0.11874719
76,0.370487984
77,0.053166387
78,0.175885359
79,0.251680796
80,0.200996611
81,0.174545988
82,0.164149409
83,0.037711598
84,0.224604476
85,0.019180543
86,0.470867645
87,0.044031247
88,0.593315064
89,0.146434157
90,0.099796241
91,0.111584551
92,0.050830501
93,0.192610277
94,0.188921117
95,0.076240584
96,0.282995631
97,0.312402715
98,0.105147361
99,0.340828391
100,0.107035937
101,0.184534995
102,0.225606175
103,0
104,0.252799981
105,0.210528902
106,0
107,0.002674237
108,0.13393035
109,0.772411224
110,0.530463849
111,0.412160461
112,0.040985087
113,0.643199059
114,0.315113628
115,0.037773128
116,0.46803382
117,0.071778794
118,0.579781517
119,0.458105621
120,0.165609293
121,0.068799933
122,0.147662719
123,0.750927693
124,0.152166541
125,0
126,0.051415939
127,0.332844767
128,0.155595822
129,0.018795319
130,0.5913414
131,0.68884783
132,0.223575547
133,0.276781494
134,0.045358494
135,0.210175348
136,0.282194917
137,0.254011439
138,0.690716109
139,0.607440448
140,0.147546997
141,0.469313969
142,0.274683663
143,0.48337364
144,0.32393922
145,0.384213988
146,0.176245818
147,0.130036204
148,0.160072472
149,0.265061468
150,0.088374898
151,0
152,0.403168594
153,0.320043332
154,0.101360589
155,0.221044521
156,0
157,0.341206795
158,0.522568354
159,0.091929179
160,0.157835465
161,0.13381399
162,0.352739161
163,0.079879744
164,0.575023721
165,0.069695426
166,0.63064125
167,0.412745431
168,0.192270477
169,0.824858537
170,0.219964938
171,0.848821128
172,0.300682378
173,0.107999858
174,0.02510881
175,0.254508372
176,0.111346534
177,0.281856468
178,0.345768422
179,0.229591241
180,0.163844555
181,0.257068011
182,0.172962669
183,0.001146418
184,0.493000556
185,0.721489371
186,0.282082781
187,0.065351634
188,0.315038728
189,0.296752771
190,0.007813624
191,0.421622078
192,0.596126737
193,0.446151454
194,0.113890766
195,0.030657391
196,0.205390712
197,0.85949816
198,0.272588384
199,0.464943631
200,0.254696179
201,0.145855203
202,0.004638355
203,0.186022525
204,0.19935291
205,0.249065988
206,0.455840379
207,0.595388261
208,0.295739954
209,0.293591389
210,0.191581424
211,0.278232814
212,0.147588117
213,0.563767414
214,0.12709116
215,0.515954242
216,0.149389023
217,0.139350262
218,0
219,0.466271388
220,0.130481841
221,0.060900097
222,0.124619593
223,0.11574835
224,0.057037378
225,0.081386081
226,0.272617831
227,0.067356556
228,0.362907057
229,0.184604197
230,0.055183498
231,0.088496864
232,0.342354769
233,0.021841553
234,0.124695764
235,0.128331078
236,0.141532938
237,0.099886895
238,0.528364598
239,0.837438489
240,0.349743941
241,0.074678454
242,0.413542346
243,0.176479905
244,0.275591814
245,0.265724598
246,0.227595426
247,0.146788071
248,0.918624329
249,0.145865108
250,0.147517979
251,0.436556957
252,0.387715333
253,0.202754815
254,0.026421393
255,0.030990141
256,0.049185927
257,0.151128597
258,0.11885471
259,0.661962567
260,0.049788681
261,0.146178332
262,0.281796852
263,0.161333732
264,0.309796717
265,0.318566771
266,0.052740286
267,0.084000114
268,0.253576132
269,0.257531957
270,0.11465065
271,0.4258119
272,0.18970796
273,0.324724351
274,0.555860947
275,0.599472904
276,0.091185759
277,0.004545329
278,0
279,0.025811908
280,0.063446082
281,0.404959224
282,0.036354288
283,0.373852533
284,0.037765369
285,0.047861591
286,0.612241989
287,0.139752219
288,0.122349717
289,0.078912517
290,0.853149297
291,0.111206255
292,0.295800029
293,0.50148457
294,0.11352305
295,0.053174512
296,0.664558036
297,0.070472569
298,0.265447735
299,0.11067251
300,0.122881754
301,0.036936087
302,0.182740246
303,0.168673819
304,0.242776312
305,0.310263769
306,0.295120246
307,0.215022665
308,0.053259709
309,0.600002763
310,0.131186673
311,0.034208713
312,0.001710527
313,0.153648111
314,0.137426554
315,0.327484067
316,0.408264025
317,0.533596387
318,0.475928681
319,0.020451669
320,0.334715875
321,0.29062516
322,0.283501734
323,0.040379964
324,0.034577396
325,0.151631643
326,0.171033093
327,0.357336286
328,0.210200458
329,0.611751647
330,0
331,0.293609728
332,0.456194062
333,0.312644069
334,0.16361302
335,0.352797806
336,0.503096096
337,0.295176697
338,0.43689245
339,0.347221863
340,0.193559559
341,0.045305641
342,0.640606061
343,0.161998833
344,0.259030096
345,0.04287925
346,0.55706713
347,0.149476617
348,0.192114268
349,0.163709342
350,0.311157265
351,0.187560962
352,0.19469659
353,0.343089788
354,0.36812746
355,0.785381061
356,0.146594295
357,0.030959874
358,0.123364915
359,0.464822884
360,0.121606981
361,0.061645199
362,0.485873864
363,0.186441445
364,0.013089282
365,0.76256513
366,0.354402195
367,0.689211819
368,0.488645122
369,0.065423804
370,0.431308934
371,0.171798014
372,0.558034718
373,0.20855423
374,0.321008839
375,0.586261191
376,0.28527285
377,0.5110831
378,0
379,0.326951823
380,0.335714276
381,0.483082677
382,0.381273495
383,0.382010094
384,0.170858228
385,0.285989188
386,0
387,0.462078273
388,0.283475508
389,0.433603017
390,0.255579277
391,0.086463054
392,0.015242631
393,0.070704306
394,0.620851608
395,0.164024301
396,0.239865625
397,0.232524291
398,0.205685126
399,0.340698482
400,0.527474864
401,0.02787254
402,0.071469644
403,0.250503885
404,0.32268148
405,0.435337776
406,0.5212039
407,0.470076287
408,0.168698956
409,0.636921579
410,0.2541554
411,0.071635343
412,0.498003283
413,0.087144248
414,0.138767602
415,0.103005491
416,0.289048222
417,0.131710476
418,0.361845275
419,0.36179804
420,0.455104888
421,0.190392014
422,0.796643138
423,0.092608293
424,0.382656087
425,0.036665025
426,0.046178063
427,0.132063374
428,0.142635361
429,0.57346957
430,0.037867545
431,0.390091519
432,0.483859285
433,0.167615555
434,0.248650063
435,0.093933221
436,0.152576083
437,0.048442808
438,0.185621619
439,0.303838334
440,0
441,0.052046865
442,0.042032114
443,0.408667277
444,0.182675937
445,0.082432203
446,0.121772896
447,0.278217516
448,0.055455389
449,0.326325505
450,0.070316346
451,0.166652063
452,0.411901727
453,0.246773825
454,0.277042805
455,0.325278978
456,0.575123605
457,0.048394728
458,0.344118615
459,0.43917279
460,0.01489759
461,0.686001551
462,0.246168699
463,0.419855886
464,0.778984592
465,0.404178733
466,0.034407959
467,0.310515514
468,0.184545596
469,0.413522013
470,0.110303615
471,0.236202811
472,0.383680575
473,0.309311704
474,0.728510162
475,0.393868855
476,0.115628086
477,0
478,0.009790964
479,0
480,0.182627642
481,0.631974464
482,0.576436355
483,0.46543843
484,0.088287711
485,0.028415989
486,0.341839581
487,0.006826226
488,0.166598796
489,0
490,0.4799708
491,0.026166341
492,0.122064357
493,0.293475997
494,0.224141843
495,0.042673282
496,0.152220642
497,0.178001695
498,0.212202217
499,0.337275834
500,0.012945805
501,0.335564607
502,0.41798662
503,0.159957615
504,0.027281628
505,0.159767721
506,0.498686027
507,0.025926568
508,0.943859421
509,0
510,0.081570399
511,0.227425853
512,0.483284651
513,0.061741307
514,0.131355133
515,0
516,0.213673103
517,0.146942573
518,0.015243912
519,0.117048406
520,0.134707967
521,0.474924471
522,0.040926425
523,0.077965795
524,0.20451054
525,0.375684386
526,0.409347976
527,0.320057674
528,0.148423875
529,0.120175653
530,0.578374663
531,0.321621291
532,0.257875874
533,0.189248771
534,0.148471622
535,0.136193068
536,0
537,0.206023233
538,0.075853371
539,0.095317669
540,0.132501825
541,0.097875519
542,0.015183022
543,0.006538122
544,0
545,0.325954511
546,0.102146351
547,0.310453607
548,0.313189555
549,0.308991484
550,0.037620052
551,0.144741275
552,0.014173373
553,0.034869651
554,0.160975507
555,0.471968895
556,0.436062762
557,0.345261622
558,0.05145466
559,0.466914865
560,0.062242415
561,0.028910963
562,0.374709484
563,0
564,0
565,0.371144459
566,0.030649592
567,0.102649102
568,0.161710763
569,0.463204919
570,0.055553395
571,0.181301312
572,0.080132028
573,0.758821203
574,0.77339734
575,0.437465561
576,0.16316768
577,0.054838969
578,0.20377984
579,0.089975187
580,0.255257464
581,0.240892737
582,0.047421717
583,0.323391343
584,0.237351091
585,0.645384296
586,0.086848547
587,0.118203001
588,0.216427861
589,0.044900858
590,0.04812952
591,0.081416705
592,0.130963627
593,0.237465589
594,0.176838423
595,0.230961286
596,0.219394406
597,0.789465554
598,0.193553282
599,0.123523439
600,0.194288601
601,0.438091229
602,0.597685475
603,0.05095748
604,0.186738894
605,0.666525895
606,0.378562985
607,0.217918001
608,0.080078607
609,0.059370566
610,0.387273791
611,0.021380656
612,0.408275484
613,0.098733248
614,0.107198623
615,0.399312765
616,0.050621352
617,0.329743567
618,0.183875658
619,0.628557159
620,0.230470665
