id,target
0,0
1,0.104282171
2,0.101180911
3,0.226437599
4,0.145950317
5,0.625690222
6,0.487824619
7,0.663247585
8,0.059974968
9,0.347541928
10,0.1107665
11,0.229762435
12,0.475991905
13,0.138300806
14,0.479967326
15,0.175487757
16,0.179594576
17,0.097891539
18,0.055257678
19,0
20,0.593292892
21,0.093607903
22,0.091638356
23,0.181479484
24,0.061664999
25,0.222673446
26,0.833609223
27,0.179940134
28,0.243094683
29,0.720819593
30,0.439556211
31,0.558533669
32,0.25363183
33,0.338618755
34,0.002046734
35,0.055645347
36,0
37,0.062318951
38,0.514848709
39,0.076339603
40,0.437530279
41,0.04123497
42,0.108355492
43,0.531924665
44,0.281578898
45,0.127158403
46,0.275216878
47,0.068177074
48,0.168451667
49,0.290234387
50,0.041843772
51,0.407230079
52,0.085191369
53,0.05202049
54,0.0459494
55,0
56,0.07825613
57,0.593887329
58,0.273608923
59,0.050381362
60,0.204894215
61,0.215312928
62,0.04722333
63,0.358984768
64,0.214572817
65,0.523222446
66,0.190565258
67,0.035785675
68,0.141968966
69,0.037572295
70,0.081777126
71,0.037492335
72,0.720806003
73,0.365018904
74,0.613587618
75,0
76,0.213825852
77,0.656826973
78,0.267110497
79,0.086594731
80,0.728711247
81,0.142689169
82,0.552598596
83,0.518400967
84,0.366978884
85,0.197826743
86,0.844407916
87,0.003196299
88,0.215095431
89,1
90,0.217628449
91,0.221974671
92,0.10812968
93,0.555338383
94,0.014794767
95,0.009721011
96,0.121283203
97,0.218275279
98,0.326439679
99,0.16885367
100,0.067997992
101,0
102,0.269890845
103,0.324253678
104,0.164367676
105,0.152423769
106,0.084935457
107,0.192765981
108,0.27028206
109,0.387589335
110,0.431875289
111,0.047518969
112,0.067861646
113,0.27472055
114,0.035464108
115,0.487981618
116,0.108776182
117,0.075278848
118,0.206448466
119,0.117161214
120,0.252821684
121,0.421953082
122,0.197138101
123,0.062480182
124,0.043645948
125,0.309381485
126,0.049237579
127,0.312351346
128,0.251365513
129,0.085633874
130,0.09688136
131,0.215999872
132,0.83049196
133,0.639789999
134,0.059535652
135,0.262907267
136,0.142939657
137,0.301049948
138,0
139,0.135644883
140,0.234908402
141,0.042888701
142,0
143,0.547157466
144,0.04910931
145,0.110278964
146,0.050223112
147,0.052362561
148,0.05925104
149,0.611468017
150,0.104486436
151,0.087731689
152,0.211385161
153,0.098181337
154,0.215459526
155,0.602300465
156,0
157,0.158537149
158,0.09635362
159,0.210664898
160,0.053352922
161,0.070303172
162,0.07371369
163,0.456124187
164,0.006944954
165,0
166,0.474859446
167,0.425977826
168,0.054078698
169,0.150789291
170,0.431537867
171,0.350730598
172,0.553007901
173,0.089299768
174,0.075042367
175,0.169808954
176,0.0076904
177,0.047667444
178,0.102669597
179,0
180,0.250206888
181,0.059038848
182,0.084925324
183,0.488035679
184,0.042963892
185,0.101750672
186,0
187,0.547956646
188,0.50689888
189,0.027680993
190,0.9466362
191,0.07790345
192,0.301599383
193,0.229947299
194,0.058785051
195,0.239819944
196,0.239604414
197,0
198,0.060485452
199,0.091830224
200,0.58182013
201,0.052875608
202,0.236940026
203,0.001588643
204,0.458742678
205,0.746689558
206,0.675616622
207,0
208,0.129312158
209,0.096011013
210,0.221174449
211,0.348270357
212,0
213,0.350612849
214,0.023899585
215,0
216,0.270586163
217,0.05780533
218,0.538274646
219,0.632039964
220,0.118413091
221,0.637251973
222,0.422890365
223,0.206262499
224,0.581854761
225,0
226,0.154966533
227,0.028107852
228,0.6322577
229,0
230,0.046786457
231,0.097222775
232,0.055406928
233,0.10911566
234,0.184063733
235,0.065337867
236,0
237,0.252229214
238,0.344735622
239,0.148052573
240,0.686213255
241,0.01753071
242,0.21128118
243,0.765461147
244,0
245,0.121725917
246,0.250628352
247,0.35483557
248,0.479308456
249,0.279439569
250,0.503997207
251,0.079392046
252,0.247319102
253,0.411757767
254,0.007766157
255,0.552945197
256,0.380445421
257,0.403143436
258,0.126978129
259,0.078828424
260,0.331750453
261,0
262,0
263,0.286728859
264,0.724316478
265,0.335794687
266,0.418111652
267,0.244522423
268,0.002605408
269,0.366723865
270,0.237585664
271,0.222819179
272,0.510867596
273,0.140374243
274,0.268501043
275,0.03113097
276,0.273785055
277,0.251817197
278,0.16947791
279,0.45898962
280,0.373032272
281,0.480795682
282,0.895703971
283,0.591154218
284,0.319574773
285,0.421137571
286,0.424082875
287,0.042432815
288,0.267628878
289,0.773153782
290,0.046735376
291,0.036578298
292,0.49560371
293,0
294,0.123944372
295,0.044292182
296,0.26711601
297,0.044107169
298,0.047112972
299,0.139781207
300,0
301,0.201674372
302,0.00567171
303,0.005650103
304,0.09504056
305,0.235498101
306,0.390922785
307,0.324649751
308,0.090032548
309,0.309677392
310,0.129668862
311,0.262940168
312,0.058522135
313,0.441837728
314,0.179838002
315,0.129393518
316,0.233673066
317,0.377094716
318,0.108265609
319,0.124450237
320,0.251831293
321,0.146609515
322,0.365243614
323,0.205983788
324,0.091143698
325,0.064221531
326,0.286788404
327,0.090277165
328,0.046866626
329,0.397598743
330,0.372218281
331,0.260164261
332,0.259418279
333,0.140645623
334,0.492128432
335,0.017944664
336,0.569881916
337,0.019660085
338,0.134819835
339,0.354624718
340,0.477308065
341,0.110831589
342,0.099356711
343,0.291466534
344,0.397237897
345,0.148456782
346,0.264648467
347,0.123343021
348,0.027910948
349,0.062301457
350,0.081894666
351,0
352,0.215581954
353,0
354,0.280090541
355,0.231858105
356,0.424556494
357,0.002999544
358,0.086546689
359,0.071098894
360,0.305776954
361,0.569420815
362,0.074371934
363,0.074727386
364,0.006159276
365,0.180159509
366,0.001054436
367,0.385091782
368,0.093439609
369,0.559586406
370,0.373031914
371,0.518132448
372,0.086432517
373,0.044520646
374,0.133679658
375,0.316289544
376,0.056307942
377,0.448116511
378,0.118470907
379,0.375188142
380,0.236037582
381,0.094053
382,0.292593479
383,0.126679182
384,0.264712662
385,0.303746462
386,0.440961957
387,0.123230845
388,0.168238252
389,0.430076093
390,0.002260089
391,0.35424012
392,0.236638755
393,0.239917129
394,0.051325887
395,0.026288718
396,0.123494536
397,0.274175614
398,0.450909078
399,0.226313859
400,0.129684508
401,0.051869482
402,0.056026638
403,0
404,0.126499683
405,0.098409772
406,0.126515925
407,0.230814278
408,0.296407521
409,0.551382422
410,0.504578531
411,0.738021731
412,0.39561379
413,0.633393765
414,0.000790417
415,0.083644241
416,0.077591837
417,0.316158533
418,0.320891231
419,0
420,0.288159847
421,0.111516684
422,0.300422907
